country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Isle of Man,2020,10.414,6684225641.02564,79513.5330346598,82.536,78.672,80.588,15.1474777995,62.9952357444,21.8572864561,50.4389512752,84064.0,39596.0,47.102
India,2020,7.35,2674851578587.27,1907.0425163767,71.824,68.615,70.15,26.3453740592,67.2377729174,6.4168530234,48.3697182728,1402617695.0,912739439.0,65.074
Ireland,2020,6.5,436555518400.451,87567.1148972037,84.4,80.8,82.556097561,20.1012562401,65.336596418,14.562147342,50.4845054977,4985382.0,1812037.0,36.347
"Iran, Islamic Republic of",2020,5.567,262186179355.944,2988.7812241472,77.817,72.102,74.832,23.7741603462,68.9964842123,7.2293554415,49.0985608032,87723443.0,21164158.0,24.126
Iraq,2020,5.239,180898797516.874,4295.1894512123,71.185,66.954,69.123,38.494677319,58.1449271391,3.3603955419,49.9019958969,42116605.0,12258880.0,29.107
Iceland,2020,6.3,21629953194.065895,59023.5663465778,84.6,81.6,83.0634146341,18.7277354384,66.707899862,14.5643646997,48.7087236167,366463.0,22362.0,6.102
Israel,2020,5.3,411728563086.632,44679.7715799755,84.8,80.6,82.6487804878,28.0344555733,59.9126673678,12.0528770589,50.3029075121,9215100.0,683115.0,7.413
Italy,2020,12.5,1907481094079.2295,32091.4866621366,84.5,80.0,82.1951219512,12.8259753776,63.7947913908,23.3792332316,51.2130611089,59438851.0,17214086.0,28.961
Jamaica,2020,7.583,13812421803.4084,4879.4402463132,73.918,69.818,71.869,20.5671381219,72.2937367239,7.1391251542,50.4745580571,2830739.0,1236722.0,43.689
Jordan,2020,3.475,43700383098.5916,4022.0401356135,77.772,72.987,75.184,32.8415074604,63.2594071316,3.899085408,48.291075741,10865228.0,932454.0,8.582
Japan,2020,11.1,5055587093501.59,40040.7655055923,87.71,81.56,84.56,12.2207528196,58.8610727961,28.9181743843,51.1464848893,126261000.0,10376129.0,8.218
Kazakhstan,2020,8.6,171082365861.423,8781.5079778765,75.53,67.09,71.37,29.2105318945,63.1406766523,7.6487914532,51.4790974718,19482117.0,8246585.0,42.329
Kenya,2020,7.456,100657505750.545,1927.6645902785,65.062,60.372,62.675,39.2841689245,57.9266087955,2.78922228,50.2395172117,52217334.0,37599091.0,72.005
Kyrgyzstan,2020,6.1,8270468614.24051,1229.5177574214,76.0,67.8,71.8,32.8749645772,61.9762836597,5.1487517631,50.5050840026,6726595.5,4247441.5,63.144
Cambodia,2020,6.228,34818073901.4851,2081.7391424294,72.724,67.999,70.416,31.0778017734,63.4834613202,5.4387369063,51.088755457,16725474.0,12672557.0,75.768
Kiribati,2020,6.242,223123620.597516,1769.4321176022,68.948,65.348,67.266,35.1798983338,60.8898563827,3.9302452835,51.7371271779,126099.0,55996.0,44.406
Saint Kitts and Nevis,2020,10.036,883922222.222222,18859.0190361046,75.266,68.322,71.627,19.06550032,71.4988265415,9.4356731385,51.8049925325,46870.0,32414.0,69.157
Korea (South),2020,5.9,1644312831906.17,31721.2989141857,86.5,80.5,83.4268292683,12.1146595856,72.0631744684,15.822165946,50.0497691014,51836239.0,9634283.0,18.586
Kuwait,2020,3.254,111045470461.207,25236.0755520534,80.023,75.35,76.92,20.6195979041,75.3845896862,3.9958124098,39.0594944165,4400267.0,0.0,0.0
Latin America & Caribbean,2020,7.7898029454,4047055896231.7905,6940.2789633469,76.3492933659,69.4853557412,72.8211448074,23.9701731103,67.4130665534,8.6167603362,50.712792643,583125825.0,112944405.0,19.3687881047
Lao PDR,2020,6.366,18981805250.2424,2583.7773069613,70.594,66.519,68.497,31.6070608821,64.1514210956,4.2415180223,49.7215625384,7346533.0,4680476.0,63.71
Lebanon,2020,6.253,31712128253.7961,5561.191669504,79.895,75.637,77.804,27.9465523054,62.9297413939,9.1237063007,51.4235940739,5702398.0,631541.0,11.075
Liberia,2020,8.753,3176126300.0,616.7878670067,62.355,59.528,60.948,41.3767570156,55.4018879831,3.2213550014,50.1372279012,5149463.0,2467159.0,47.911
Libya,2020,5.598,46854285440.642,6650.3381058535,75.348,69.867,72.472,29.4627955067,65.8907323773,4.6464721161,49.0733739849,7045399.0,1360396.0,19.309
Saint Lucia,2020,8.205,1499296296.2963,8411.199418212,77.055,70.042,73.416,18.7337482924,72.5571597275,8.7090919801,50.4143034261,178250.0,144666.0,81.159
Latin America & Caribbean (excluding high income),2020,7.7713560504,4805510770575.42,7444.6607339385,76.5841272027,69.66117986,73.0265163953,23.896923188,67.2677904865,8.8352863255,50.7018665819,645497618.0,122071812.0,18.912203713
Least developed countries: UN classification,2020,7.422952851,1172274838994.17,1081.7974819929,66.9382505556,62.3513251228,64.6017504849,39.61002661,56.7667707538,3.6232026362,50.3402143401,1083636132.0,707170940.0,65.2590771215
Liechtenstein,2020,8.2,6405870210.322929,164671.093553454,83.4,80.0,81.6585365854,14.575541053,66.7694172879,18.6550416591,50.3856372688,38901.0,33293.0,85.584
Sri Lanka,2020,7.056,84304298770.5329,3846.1744956674,80.111,72.597,76.393,23.3374525365,65.9468366164,10.7157108471,51.5728040566,21919000.0,17817298.0,81.287
Low & middle income,2020,7.5318687957,29521428086822.8,4585.375758722,73.1816721699,68.3786421109,70.7037618128,27.8504454461,64.727003007,7.4225515469,49.5147772809,6438169877.5,3184912771.5,49.4829843578
Lesotho,2020,12.858,2053699870.0719097,918.582577422,57.537,51.962,54.693,35.842197156,60.3689225851,3.7888802588,51.3444849682,2235727.0,1586740.0,70.972
Late-demographic dividend,2020,7.7264369528,22553187301005.8,9734.6895926536,79.9943857092,73.6683115836,76.7229405186,18.9954951396,68.9913501671,12.0131546933,49.6720764424,2316785459.5,833294209.5,35.9676898731
Lithuania,2020,15.6,57412038533.2718,20541.824988603,80.1,70.1,74.9780487805,15.115436225,64.9504098074,19.9341539675,53.1747314866,2794885.0,893078.0,31.954
Luxembourg,2020,7.3,73699366700.2134,116905.370396853,84.5,79.9,82.143902439,15.9743861769,69.4403874424,14.5852263807,49.68165088,630419.0,53882.0,8.547
Latvia,2020,15.2,33379927434.614895,17564.2321549354,80.0,70.6,75.1853658537,15.9978297044,63.3299993399,20.6721709558,53.8034341789,1900449.0,602157.0,31.685
"Macao, SAR China",2020,4.047,25343525935.8358,36976.2561071429,87.771,82.566,85.184,14.3725391305,74.3158243011,11.3116365683,53.5336943521,685400.0,0.0,0.0
Morocco,2020,6.073,121353645057.144,3268.0302734375,76.308,71.757,73.92,26.9991385354,66.0303401949,6.9705212697,49.5089028578,36584208.0,13341529.0,36.468
Moldova,2020,14.445,11530746234.4492,4375.7788930524,74.852,65.692,70.166,19.9923691755,65.7164519859,14.2911788386,53.8783453688,2635130.0,1506003.0,57.151
Madagascar,2020,6.801,13051441203.9474,450.7716152015,67.612,62.891,65.182,40.3891452851,56.4572904886,3.1535642262,49.8369302259,28953556.0,17796593.0,61.466
Maldives,2020,3.001,3712604583.3666496,7393.8886543933,81.273,78.85,79.875,21.243192593,74.8871033431,3.8697040639,38.3648863415,502118.0,297912.0,59.331
Middle East & North Africa,2020,5.3180927726,3207935509914.14,6650.8536882624,75.2383727409,70.699896791,72.8525393887,30.4470613344,64.3866603969,5.1662782686,48.1453868882,482334398.0,168300299.0,34.8928672324
Mexico,2020,9.33,1121064767261.88,8841.2707500316,74.314,66.334,70.133,25.9842947015,66.529625424,7.4860798745,51.3912181759,126799054.0,24432910.0,19.269
Marshall Islands,2020,7.425,241800000.0,5661.9678733667,66.882,63.426,64.977,34.5497757953,61.7458700666,3.7043541381,48.7742056337,42706.0,9483.0,22.206
Middle income,2020,7.5012932201,29078432184056.695,5049.558237057,74.1156016413,69.280694408,71.6169611419,26.1429781722,65.9320194652,7.9250023626,49.4372517272,5758609133.5,2734058253.5,47.4925173785
North Macedonia,2020,12.4,12361036913.8409,6659.5965107078,76.7,72.2,74.3951219512,17.2117164628,66.4419445245,16.3463390127,51.2956620029,1856124.0,770626.0,41.518
Mali,2020,9.529,17465392764.3706,804.3439567459,59.94,57.385,58.633,47.3193439271,50.1900573945,2.4905986784,49.520791698,21713836.0,12179508.0,56.091
Malta,2020,7.9,16385919535.6742,31796.8213417258,84.5,80.3,82.3487804878,13.3328123055,68.1674197448,18.4997679496,48.2154814582,515332.0,27086.0,5.256
Myanmar,2020,8.819,79006113643.1906,1490.2168354837,69.959,63.785,66.797,25.1457481985,68.3464361199,6.5078156816,50.1453537474,53016522.0,36506647.0,68.859
Middle East & North Africa (excluding high income),2020,5.6611492238,1328872852321.83,3175.6170665498,74.6666795661,69.6952895901,72.105578824,31.500321154,63.1484372164,5.3512416296,49.4388205667,418461302.0,160618095.0,38.3830225121
Montenegro,2020,11.7,4769996866.00758,7677.3713210682,78.8,73.2,75.9317073171,18.4380731493,64.9212498047,16.6406770461,51.8525037257,621306.0,201999.0,32.512
Mongolia,2020,5.475,13312981429.0891,4001.251930777,77.02,67.502,72.141,32.7657940635,62.9278480776,4.3063578589,49.9836665112,3327204.0,1042846.0,31.343
Mozambique,2020,8.004,14235420174.1884,462.4338764799,64.16,58.111,61.172,45.1844236467,52.0045064126,2.8110699407,51.6093295904,30783688.0,19370944.0,62.926
Mauritania,2020,7.466,8260752385.230889,1795.7645956671,66.335,62.781,64.532,43.8157848113,52.9241015093,3.2601136794,51.0857842961,4600131.0,2055017.0,44.673
Mauritius,2020,8.7,11408106446.3144,9011.0428844502,77.66,70.86,74.1770731707,16.3546398405,72.2441851494,11.4011750101,49.8312063989,1266014.0,749987.0,59.24
Malawi,2020,6.706,11769313597.8545,602.5074781761,67.597,60.014,63.717,43.118068536,54.1742804652,2.7076509988,51.2525336099,19533888.0,16129717.0,82.573
Malaysia,2020,5.311,337456163961.21094,9957.5262669761,78.472,73.648,75.938,23.961030652,69.3140632092,6.7249061389,47.4120480588,33889558.0,7740375.0,22.84
North America,2020,10.0464818016,23016676877000.2,62271.1969150653,80.322048973,74.7379437213,77.4627170909,18.1332596828,65.5974776222,16.269262695,49.7707530977,369619953.0,64485229.0,17.4463604727
Namibia,2020,8.475,10583748541.5258,3878.5898299397,66.606,59.058,62.829,37.1394861735,59.2853021416,3.5752116849,51.2403060435,2728762.0,1308905.0,47.967
New Caledonia,2020,5.7,9454629467.91408,33270.330597637,84.596,77.253,80.8349512195,22.302688646,67.4425928956,10.2547184584,50.5864302882,284176.0,80939.0,28.482
Niger,2020,8.281,13744653103.058,579.5124957582,62.454,60.472,61.451,48.0192473834,49.4543791263,2.5263734903,49.2286302167,23717613.0,19774323.0,83.374
Nigeria,2020,12.997,432198898467.795,2019.6570632622,53.323,52.456,52.887,42.8257357546,54.192952864,2.9813113814,49.485660681,213996181.0,102808045.0,48.042
Nicaragua,2020,5.703,12681569254.2815,1931.6151581164,75.012,68.648,71.795,30.4224413112,64.416862254,5.1606964347,50.8321978119,6565267.0,2690972.0,40.988
Netherlands,2020,9.7,932560861701.1699,53467.9277413737,83.1,79.7,81.3585365854,15.6195584091,65.0100463629,19.370395228,50.3797330696,17441500.0,1354158.0,7.764
Norway,2020,7.5,367633418886.627,68340.0181033702,84.9,81.6,83.2097560976,17.2110323076,65.0607837657,17.7281839267,49.569672333,5379475.0,915909.0,17.026
Nepal,2020,7.209,33433659301.2466,1154.2151757832,71.173,67.345,69.246,30.0759898275,63.8354856215,6.0885245509,51.8667153435,28966574.0,23006412.0,79.424
Nauru,2020,6.602,124530027.301054,10695.6993301601,67.272,59.994,63.437,37.9927853646,59.8900626986,2.1171519368,48.982221077,11643.0,0.0,0.0
New Zealand,2020,6.41,212697530897.56,41785.6922905898,84.1,80.5,82.256097561,19.0190132143,65.3602688024,15.6207179833,50.3588930343,5090200.0,677048.0,13.301
OECD members,2020,9.7652081036,53000805354035.6,38686.327403326,81.8643882788,76.0866367924,78.8952380072,17.6057922554,65.1303442212,17.2638635234,50.5788540503,1370013876.0,259921158.0,18.9721550559
Oman,2020,3.025,75909492847.8544,16784.8630630058,76.788,73.289,74.757,25.5561723486,71.8368051805,2.6070224709,37.8940301993,4522497.0,620667.0,13.724
Other small states,2020,7.47530381,181482110538.08496,13071.2236222876,75.6639586107,70.9662223536,73.1675808861,24.2011742621,66.8686874541,8.9301382839,48.1324434356,13884095.0,5730679.0,41.2751334147
Pakistan,2020,7.06,300425609817.981,1278.397352069,68.825,63.945,66.269,37.8598272202,58.1175150077,4.0226577721,48.9561154154,235001746.0,147663347.0,62.835
Panama,2020,5.747,57059846500.0,13290.5608347594,80.034,73.472,76.657,26.3898817239,65.3167021525,8.2934161235,49.9498865781,4293261.0,1356069.0,31.586
Peru,2020,7.327,201409694755.934,6133.3255241018,76.816,70.808,73.665,25.5036884284,65.7782365403,8.7180750312,50.1909811627,32838579.0,7126957.0,21.703
Philippines,2020,5.566,361751145451.597,3227.579102352,73.997,70.244,72.119,30.6822971768,64.5920285125,4.7256743107,50.1205759064,112081264.0,58945778.0,52.592
Palau,2020,8.4,258990843.75,14556.5896891862,74.51333333333334,66.65666666666667,70.48918699186667,19.2417940647,71.2370728417,9.5211330935,45.9532374101,17792.0,3383.0,19.012
Papua New Guinea,2020,6.402,23848447849.7467,2429.6113458668,68.804,63.395,65.787,34.6990811854,62.1903603756,3.110558439,48.3692528311,9815746.0,8505835.0,86.655
Poland,2020,12.6,605914237903.742,15987.5753654045,80.7,72.5,76.5,15.488794219,66.435158963,18.0760468179,51.4846986115,37899070.0,15143331.0,39.957
Pre-demographic dividend,2020,8.9483853832,1311363780282.47,1313.1703599603,61.9985632031,58.4621245422,60.2099627732,43.3071761905,53.8535789571,2.8392448524,50.0455228824,998624261.0,573942820.0,57.4733501843
Puerto Rico,2020,10.131,103130900000.0,31427.4291136799,82.588,73.644,78.041,13.3781925359,64.1679678735,22.4538395906,52.7401661576,3281557.0,210643.0,6.419
Portugal,2020,12.0,229618773422.57697,22299.4044062173,84.1,78.0,80.9756097561,13.3376979494,63.7995986508,22.8627033999,52.4928841549,10297081.0,3469087.0,33.69
Paraguay,2020,5.916,35432178068.1814,5365.4722072119,76.156,70.398,73.182,29.1342730888,64.7156887397,6.1500381716,49.772780273,6603739.0,2497336.0,37.817
Palestinian Territory,2020,3.489,15531700000.0,3233.5686383586,76.683,72.164,74.403,39.3067665649,57.1178387168,3.5753947183,50.3180074845,4803269.0,1118249.0,23.281
Pacific island small states,2020,6.4658281247,9516738321.207527,3666.5989813253,71.3788270447,67.5515176198,69.3806413585,34.2069144059,60.897637239,4.8954483551,49.7830703534,2595522.0,1587978.0,61.1814883623
Post-demographic dividend,2020,10.550578046,50140842033868.0,44858.1104615819,82.8533246309,77.2857653988,79.9953033603,15.8135505664,64.6701147759,19.5163346577,50.6679572814,1117765361.0,204989526.0,18.3392268092
French Polynesia,2020,3.859,5792545870.80614,20746.2720428286,85.834,79.321,82.217,21.3067988496,69.4868360261,9.2063651243,49.3107313876,279209.0,106169.0,38.025
Qatar,2020,1.219,144411363345.27,51683.5054353851,80.679,78.225,79.099,15.3971195434,83.3551879431,1.2476925135,27.8904435224,2794148.0,21375.0,0.765
Romania,2020,15.5,252033792712.14496,13082.3006559554,78.3,70.4,74.2536585366,16.0985844556,64.884749848,19.0166656964,51.5512465974,19265250.0,8824640.0,45.806
Russian Federation,2020,14.6,1493075894362.14,10108.3271484375,76.43,66.49,71.3387804878,17.6685472255,66.8593105362,15.4721422383,53.5596896872,145245148.0,36668590.0,25.246
Rwanda,2020,5.998,10174387374.3478,778.7015385503,68.996,64.358,66.774,39.1565729773,57.367725466,3.4757015567,51.3516163295,13065837.0,10788200.0,82.568
South Asia,2020,7.1675109458,3493120726808.9,1843.1952743829,71.6051161112,68.0220492663,69.7336736654,28.4170592831,65.5535654548,6.0293752621,48.7630621037,1895144142.0,1233679892.0,65.0968896593
Saudi Arabia,2020,2.913,734271200000.0,23271.4037647084,77.992,74.966,76.239,25.4909400592,71.9864782937,2.5225816471,39.1110226846,31552510.0,4957846.0,15.713
Sudan,2020,6.67,27034593750.0,577.7952270508,68.208,63.106,65.614,41.4339626569,55.5761399455,2.9898973975,50.3651983509,46789231.0,30294623.0,64.747
Senegal,2020,5.584,24530513037.7518,1461.0872035055,70.271,65.587,68.006,40.3310678022,56.1414662546,3.5274659433,49.378097933,16789219.0,8709911.0,51.878
Singapore,2020,5.2,349488382610.662,61466.803676358,85.9,81.3,83.543902439,12.1745227285,76.2405295018,11.5849477696,48.2290778308,5685807.0,0.0,0.0
Solomon Islands,2020,5.082,1536145814.17007,2063.3310152211,71.802,68.791,70.199,38.4253550715,57.8718814557,3.7027634728,48.8350539558,744498.0,560830.0,75.33
Sierra Leone,2020,9.296,6688594757.621289,845.3138362615,61.116,58.404,59.763,39.8111457761,57.0479041038,3.14095012,50.1527192597,7912558.0,4516251.0,57.077
El Salvador,2020,8.442,24921190000.0,3997.1927958371,75.413,66.432,71.061,26.333335659,65.9569342324,7.7097301086,52.4775557595,6234673.0,1655680.0,26.556
Somalia,2020,11.39,8628393719.99922,518.1847784942,58.051,53.967,55.967,47.0325890512,50.4301809531,2.5372299957,49.9006016987,16651191.0,8968165.0,53.859
Serbia,2020,16.9,55874017668.998,8098.7095566885,77.5,71.6,74.4780487805,14.2609917583,64.1681331223,21.5708751194,52.3580838622,6899126.0,3004845.0,43.554
Sub-Saharan Africa,2020,8.845189636,1721810881901.34,1472.9967124307,62.7950011015,58.8822200114,60.8202539493,41.9875680505,54.9325496961,3.0798822534,50.1757702304,1168916989.0,685367975.0,58.6327328908
South Sudan,2020,10.759,14080606755.7446,1375.87731816095,56.998,53.906,55.48,42.4256905218,54.8803721131,2.693937365,50.798595724,10698467.0,8537484.0,79.801
Sub-Saharan Africa (excluding high income),2020,8.845017377,1723193433652.91,1474.0553105426,62.7964589664,58.8834995474,60.8216366384,41.9857657455,54.9339731513,3.0802611032,50.1753529923,1169015451.0,685409776.0,58.6313702138
Small states,2020,7.369982536,222762059252.071,11381.557900564,75.0854268092,70.2446452927,72.5314173255,25.6031421396,66.1100001852,8.2868576752,48.7653364351,19572194.0,8976700.0,45.8645642719
São Tomé and Principe,2020,6.294,471229484.607144,2167.2200179692,70.878,65.16,67.785,39.9345550039,56.2254380055,3.8400069906,50.1910915906,217435.0,55763.0,25.646
Suriname,2020,7.036,2911807496.20227,4755.3922171069,75.981,69.264,72.561,26.8331002023,66.1833381919,6.9835616058,49.8765343385,612317.0,207275.0,33.851
Slovak Republic,2020,10.8,107732602896.441,19735.4858280801,80.4,73.5,76.8658536585,15.8547162996,67.3811945998,16.7640891006,51.1568512177,5458827.0,2524162.0,46.24
Slovenia,2020,11.4,53384760135.1581,25392.0651093612,83.4,77.8,80.5317073171,15.1382490507,64.740362235,20.1213887143,49.8256295127,2102419.0,943608.0,44.882
Sweden,2020,9.5,545147614972.1409,52653.7565934247,84.2,80.6,82.356097561,17.735900155,62.2041144475,20.0599853975,49.6848803716,10353442.0,1244794.0,12.023
Eswatini,2020,9.603,4105756862.5527105,3442.3216527415,63.678,56.026,59.692,34.68615474,61.4389935019,3.8748517581,50.9468194814,1192729.0,904434.0,75.829
Sint Maarten (Dutch part),2020,5.5,1236428100.55866,30150.8998380477,77.883,71.789,74.584,17.2822044748,71.235749558,11.4820459672,51.3400151194,41008.0,0.0,0.0
Seychelles,2020,6.8,1382551751.56908,14041.4754074575,82.0,72.7,77.2365853659,20.5892377651,71.8328885785,7.5778736564,45.2220033086,98462.0,41801.0,42.454
Syrian Arab Republic,2020,4.99,12047752036.091,572.3552898319,75.555,68.888,72.14,34.5884513067,60.8639526516,4.5475960417,50.0176798145,21049429.0,9372258.0,44.525
Turks and Caicos Islands,2020,8.823,774653669.3151859,17452.6578046047,78.155,72.198,75.001,16.6754908698,73.2468936928,10.0776154375,49.8434155683,44386.0,2838.0,6.395
Chad,2020,12.486,10715396042.3343,622.0955433964,54.396,51.218,52.777,47.9659011352,49.9863654934,2.0477333714,49.8264728184,17224679.0,13173434.0,76.48
