country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Italy,1991,9.7,1249092439519.28,22007.1350964074,80.4,73.8,77.0195121951,15.7630809852,68.9071420944,15.3297769204,51.4538340542,56758521.0,18897182.0,33.294
Jamaica,1991,6.974,4106207649.0554695,1710.3005824372,73.364,70.941,72.186,35.4926769209,57.263923451,7.2433996281,50.8330108806,2400869.0,1208693.0,50.344
Jordan,1991,4.25,4344467193.25095,1109.65564612,71.568,68.679,70.093,43.0683553719,54.5852080489,2.3464365792,47.6956949287,3915149.0,1000125.0,25.545
Japan,1991,6.7,3648065760648.88,29428.4289039469,82.11,76.11,79.0368292683,17.3960154394,69.9613218177,12.642662743,50.6593694868,123964000.0,27925370.0,22.527
Kazakhstan,1991,8.19,24923076923.0769,1442.4245554082,72.4,62.6,67.6,31.5589399604,62.5979593254,5.8431007142,51.9394367564,17278600.0,7572346.0,43.825
Kenya,1991,9.527,8151488783.19064,344.7226421277,59.934,56.038,58.005,48.937066346,48.9030190434,2.1599146107,50.4678871482,23646514.0,19616439.0,82.957
Kyrgyzstan,1991,6.9,2542256424.3506894,569.548584035,72.7,64.6,68.5512195122,37.5754724725,57.4658172915,4.958710236,52.4030055718,4463634.0,2790218.0,62.51
Cambodia,1991,11.986,2054974089.3643,267.336306727,58.071,53.234,55.793,44.4573358695,52.5523818308,2.9902822997,52.0258561083,7686850.0,6465640.0,84.113
Kiribati,1991,8.912,41247772.3743817,540.1256088937,63.049,59.743,61.422,40.4699704713,56.1286689844,3.4013605442,50.9185904907,76367.0,49431.0,64.728
Saint Kitts and Nevis,1991,11.82,220540740.740741,5464.6102567209,68.682,63.656,66.15,34.0601615541,56.3803954606,9.5594429853,50.7235244561,40358.0,26445.0,65.526
